FEATURE_SET,PERCENTAGE,RANKING,CLASSIFIER,F1,ACC
DEP,0.3,stratified,boosting,0.5995642701525055,0.9101796407185628
DEP,0.4,betweeness,random forrest,0.6181818181818182,0.9161676646706587
DEP,0.4,betweeness,decision tree,0.573023338890212,0.8922155688622755
DEP,0.4,betweeness,mlp,0.6181818181818182,0.9161676646706587
DEP,0.4,betweeness,NB,0.6181818181818182,0.9161676646706587
DEP,0.4,betweeness,SVM,0.6181818181818182,0.9161676646706587
DEP,0.4,betweeness,boosting,0.6181818181818182,0.9161676646706587
DEP,0.4,pagerank,random forrest,0.5838187702265373,0.9101796407185628
DEP,0.4,pagerank,decision tree,0.5153999789761379,0.8682634730538922
DEP,0.4,pagerank,mlp,0.5838187702265373,0.9101796407185628
DEP,0.4,pagerank,NB,0.4291852291852292,0.6287425149700598
DEP,0.4,pagerank,SVM,0.5838187702265373,0.9101796407185628
DEP,0.4,pagerank,boosting,0.5838187702265373,0.9101796407185628
DEP,0.4,degree,random forrest,0.5654168099988534,0.9041916167664671
DEP,0.4,degree,decision tree,0.5305944974819147,0.8802395209580839
DEP,0.4,degree,mlp,0.5883343236284412,0.9161676646706587
DEP,0.4,degree,NB,0.5883343236284412,0.9161676646706587
DEP,0.4,degree,SVM,0.5883343236284412,0.9161676646706587
DEP,0.4,degree,boosting,0.5883343236284412,0.9161676646706587
DEP,0.4,stratified,random forrest,0.72535187945024,0.9341317365269461
DEP,0.4,stratified,decision tree,0.643715617225551,0.9041916167664671
DEP,0.4,stratified,mlp,0.6981580510992277,0.9281437125748503
DEP,0.4,stratified,NB,0.645083932853717,0.8622754491017964
DEP,0.4,stratified,SVM,0.6981580510992277,0.9281437125748503
DEP,0.4,stratified,boosting,0.6981580510992277,0.9281437125748503
DEP,0.5,betweeness,random forrest,0.7091503267973857,0.9281437125748503
DEP,0.5,betweeness,decision tree,0.7091503267973857,0.9281437125748503
DEP,0.5,betweeness,mlp,0.7091503267973857,0.9281437125748503
DEP,0.5,betweeness,NB,0.7091503267973857,0.9281437125748503
DEP,0.5,betweeness,SVM,0.7091503267973857,0.9281437125748503
DEP,0.5,betweeness,boosting,0.7091503267973857,0.9281437125748503
DEP,0.5,pagerank,random forrest,0.7091503267973857,0.9281437125748503
DEP,0.5,pagerank,decision tree,0.6909205548549812,0.9221556886227545
DEP,0.5,pagerank,mlp,0.7091503267973857,0.9281437125748503
DEP,0.5,pagerank,NB,0.7091503267973857,0.9281437125748503
DEP,0.5,pagerank,SVM,0.7091503267973857,0.9281437125748503
DEP,0.5,pagerank,boosting,0.6909205548549812,0.9221556886227545
DEP,0.5,degree,random forrest,0.7396121290046073,0.9341317365269461
DEP,0.5,degree,decision tree,0.7396121290046073,0.9341317365269461
DEP,0.5,degree,mlp,0.7396121290046073,0.9341317365269461
DEP,0.5,degree,NB,0.7396121290046073,0.9341317365269461
DEP,0.5,degree,SVM,0.7396121290046073,0.9341317365269461
DEP,0.5,degree,boosting,0.7396121290046073,0.9341317365269461
DEP,0.5,stratified,random forrest,0.6811429325155398,0.8922155688622755
DEP,0.5,stratified,decision tree,0.7128535624776227,0.9041916167664671
DEP,0.5,stratified,mlp,0.766812865497076,0.9401197604790419
DEP,0.5,stratified,NB,0.6121408207066662,0.7904191616766467
DEP,0.5,stratified,SVM,0.766812865497076,0.9401197604790419
DEP,0.5,stratified,boosting,0.6164724164724165,0.844311377245509
DEP,0.6,betweeness,random forrest,0.8052250603211583,0.9461077844311377
DEP,0.6,betweeness,decision tree,0.7931952766389853,0.9401197604790419
DEP,0.6,betweeness,mlp,0.8052250603211583,0.9461077844311377
DEP,0.6,betweeness,NB,0.8052250603211583,0.9461077844311377
DEP,0.6,betweeness,SVM,0.8052250603211583,0.9461077844311377
DEP,0.6,betweeness,boosting,0.8052250603211583,0.9461077844311377
DEP,0.6,pagerank,random forrest,0.7628275648077629,0.9341317365269461
DEP,0.6,pagerank,decision tree,0.774857108835437,0.9401197604790419
DEP,0.6,pagerank,mlp,0.774857108835437,0.9401197604790419
DEP,0.6,pagerank,NB,0.774857108835437,0.9401197604790419
DEP,0.6,pagerank,SVM,0.774857108835437,0.9401197604790419
DEP,0.6,pagerank,boosting,0.774857108835437,0.9401197604790419
DEP,0.6,degree,random forrest,0.8020648218668022,0.9461077844311377
DEP,0.6,degree,decision tree,0.7892323779392445,0.9401197604790419
DEP,0.6,degree,mlp,0.8020648218668022,0.9461077844311377
DEP,0.6,degree,NB,0.8785724185724185,0.9700598802395209
DEP,0.6,degree,SVM,0.8020648218668022,0.9461077844311377
DEP,0.6,degree,boosting,0.8020648218668022,0.9461077844311377
DEP,0.6,stratified,random forrest,0.8131101456682853,0.9461077844311377
DEP,0.6,stratified,decision tree,0.708881922675026,0.8982035928143712
DEP,0.6,stratified,mlp,0.8265276027562539,0.9520958083832335
DEP,0.6,stratified,NB,0.7603532641126626,0.9341317365269461
DEP,0.6,stratified,SVM,0.8265276027562539,0.9520958083832335
DEP,0.6,stratified,boosting,0.7195369375820504,0.9041916167664671
DEP,0.7,betweeness,random forrest,0.879047619047619,0.9640718562874252
DEP,0.7,betweeness,decision tree,0.879047619047619,0.9640718562874252
DEP,0.7,betweeness,mlp,0.879047619047619,0.9640718562874252
DEP,0.7,betweeness,NB,0.88496427518043,0.9640718562874252
DEP,0.7,betweeness,SVM,0.879047619047619,0.9640718562874252
DEP,0.7,betweeness,boosting,0.879047619047619,0.9640718562874252
DEP,0.7,pagerank,random forrest,0.8569097161508422,0.9580838323353293
DEP,0.7,pagerank,decision tree,0.8569097161508422,0.9580838323353293
DEP,0.7,pagerank,mlp,0.8569097161508422,0.9580838323353293
DEP,0.7,pagerank,NB,0.887300618844243,0.9700598802395209
DEP,0.7,pagerank,SVM,0.8569097161508422,0.9580838323353293
DEP,0.7,pagerank,boosting,0.8569097161508422,0.9580838323353293
DEP,0.7,degree,random forrest,0.8569097161508422,0.9580838323353293
DEP,0.7,degree,decision tree,0.8569097161508422,0.9580838323353293
DEP,0.7,degree,mlp,0.8569097161508422,0.9580838323353293
DEP,0.7,degree,NB,0.887300618844243,0.9700598802395209
DEP,0.7,degree,SVM,0.8569097161508422,0.9580838323353293
DEP,0.7,degree,boosting,0.8569097161508422,0.9580838323353293
DEP,0.7,stratified,random forrest,0.8251931075460487,0.9461077844311377
DEP,0.7,stratified,decision tree,0.8588628762541806,0.9580838323353293
DEP,0.7,stratified,mlp,0.879047619047619,0.9640718562874252
DEP,0.7,stratified,NB,0.7639868640251241,0.9101796407185628
DEP,0.7,stratified,SVM,0.879047619047619,0.9640718562874252
DEP,0.7,stratified,boosting,0.8410514541387025,0.9520958083832335
DEP,0.8,betweeness,random forrest,0.9081138179177395,0.9700598802395209
DEP,0.8,betweeness,decision tree,0.9288590604026846,0.9760479041916168
DEP,0.8,betweeness,mlp,0.9288590604026846,0.9760479041916168
DEP,0.8,betweeness,NB,0.7788211788211788,0.9221556886227545
DEP,0.8,betweeness,SVM,0.9288590604026846,0.9760479041916168
DEP,0.8,betweeness,boosting,0.9288590604026846,0.9760479041916168
DEP,0.8,pagerank,random forrest,0.9288590604026846,0.9760479041916168
DEP,0.8,pagerank,decision tree,0.9288590604026846,0.9760479041916168
DEP,0.8,pagerank,mlp,0.9288590604026846,0.9760479041916168
DEP,0.8,pagerank,NB,0.787077902525057,0.9281437125748503
DEP,0.8,pagerank,SVM,0.9288590604026846,0.9760479041916168
DEP,0.8,pagerank,boosting,0.9288590604026846,0.9760479041916168
DEP,0.8,degree,random forrest,0.879047619047619,0.9640718562874252
DEP,0.8,degree,decision tree,0.879047619047619,0.9640718562874252
DEP,0.8,degree,mlp,0.879047619047619,0.9640718562874252
DEP,0.8,degree,NB,0.9223509223509222,0.9820359281437125
DEP,0.8,degree,SVM,0.879047619047619,0.9640718562874252
DEP,0.8,degree,boosting,0.879047619047619,0.9640718562874252
DEP,0.8,stratified,random forrest,0.8830983157070112,0.9640718562874252
DEP,0.8,stratified,decision tree,0.897418630751964,0.9700598802395209
DEP,0.8,stratified,mlp,0.9176036491472733,0.9760479041916168
DEP,0.8,stratified,NB,0.8321678321678322,0.9401197604790419
DEP,0.8,stratified,SVM,0.9176036491472733,0.9760479041916168
DEP,0.8,stratified,boosting,0.9235257985257985,0.9760479041916168
DEP,0.9,betweeness,random forrest,0.9081138179177395,0.9700598802395209
DEP,0.9,betweeness,decision tree,0.9288590604026846,0.9760479041916168
DEP,0.9,betweeness,mlp,0.9288590604026846,0.9760479041916168
DEP,0.9,betweeness,NB,0.8261566811096172,0.9520958083832335
DEP,0.9,betweeness,SVM,0.9288590604026846,0.9760479041916168
DEP,0.9,betweeness,boosting,0.9288590604026846,0.9760479041916168
DEP,0.9,pagerank,random forrest,0.9081138179177395,0.9700598802395209
DEP,0.9,pagerank,decision tree,0.9288590604026846,0.9760479041916168
DEP,0.9,pagerank,mlp,0.9288590604026846,0.9760479041916168
DEP,0.9,pagerank,NB,0.8261566811096172,0.9520958083832335
DEP,0.9,pagerank,SVM,0.9288590604026846,0.9760479041916168
DEP,0.9,pagerank,boosting,0.9288590604026846,0.9760479041916168
DEP,0.9,degree,random forrest,0.961032771902337,0.9880239520958084
DEP,0.9,degree,decision tree,0.961032771902337,0.9880239520958084
DEP,0.9,degree,mlp,0.961032771902337,0.9880239520958084
DEP,0.9,degree,NB,0.9509990957089934,0.9880239520958084
DEP,0.9,degree,SVM,0.961032771902337,0.9880239520958084
DEP,0.9,degree,boosting,0.961032771902337,0.9880239520958084
DEP,0.9,stratified,random forrest,0.9404507492016704,0.9820359281437125
DEP,0.9,stratified,decision tree,0.961032771902337,0.9880239520958084
DEP,0.9,stratified,mlp,0.961032771902337,0.9880239520958084
DEP,0.9,stratified,NB,0.9154041535933065,0.9760479041916168
DEP,0.9,stratified,SVM,0.961032771902337,0.9880239520958084
DEP,0.9,stratified,boosting,0.9404507492016704,0.9820359281437125
DEP,1.0,betweeness,random forrest,1.0,1.0
DEP,1.0,betweeness,decision tree,1.0,1.0
DEP,1.0,betweeness,mlp,1.0,1.0
DEP,1.0,betweeness,NB,1.0,1.0
DEP,1.0,betweeness,SVM,1.0,1.0
DEP,1.0,betweeness,boosting,1.0,1.0
DEP,1.0,pagerank,random forrest,1.0,1.0
DEP,1.0,pagerank,decision tree,1.0,1.0
DEP,1.0,pagerank,mlp,1.0,1.0
DEP,1.0,pagerank,NB,1.0,1.0
DEP,1.0,pagerank,SVM,1.0,1.0
DEP,1.0,pagerank,boosting,1.0,1.0
DEP,1.0,degree,random forrest,1.0,1.0
DEP,1.0,degree,decision tree,1.0,1.0
DEP,1.0,degree,mlp,1.0,1.0
DEP,1.0,degree,NB,1.0,1.0
DEP,1.0,degree,SVM,1.0,1.0
DEP,1.0,degree,boosting,1.0,1.0
